,run,epoch,train loss,valid loss,test loss,train perplexity,valid perplexity,test perplexity,epoch duration,run duration,lr,batch_size,shuffle,epochs
0,1,1,3.873655887427309,0.0,0.0,48.11797882540706,1.0,1.0,41.12145471572876,41.12146067619324,0.0005,64,True,40
1,1,2,2.6161174826685025,0.0,0.0,13.682497792090267,1.0,1.0,41.35589575767517,82.49374270439148,0.0005,64,True,40
2,1,3,2.0575564795128574,0.0,0.0,7.826821426606965,1.0,1.0,41.19419527053833,123.70234107971191,0.0005,64,True,40
3,1,4,1.7190067345350324,0.0,0.0,5.57898429888418,1.0,1.0,40.995447635650635,164.71381497383118,0.0005,64,True,40
4,1,5,1.4884308009420724,0.0,0.0,4.430138292959201,1.0,1.0,41.15704846382141,205.88638710975647,0.0005,64,True,40
5,1,6,1.3168416897630901,0.0,0.0,3.731617141735136,1.0,1.0,40.85443949699402,246.7566967010498,0.0005,64,True,40
6,1,7,1.1757603239120367,0.0,0.0,3.2406059175590087,1.0,1.0,46.94141459465027,293.7146487236023,0.0005,64,True,40
7,1,8,1.0633359070916533,0.0,0.0,2.8960157327601936,1.0,1.0,43.03722953796387,336.7742314338684,0.0005,64,True,40
8,1,9,0.9684489576827062,0.0,0.0,2.6338560673211813,1.0,1.0,41.74853515625,378.54027915000916,0.0005,64,True,40
9,1,10,0.8840172015097698,0.0,0.0,2.42060425587217,1.0,1.0,41.42287731170654,419.9809010028839,0.0005,64,True,40
10,1,11,0.8134007304906845,0.0,0.0,2.255565529146161,1.0,1.0,42.69000029563904,462.68946599960327,0.0005,64,True,40
11,1,12,0.7463248391771107,0.0,0.0,2.1092339805465072,1.0,1.0,42.37428164482117,505.0828320980072,0.0005,64,True,40
12,1,13,0.6888259938766252,0.0,0.0,1.991376272420734,1.0,1.0,42.10232186317444,547.2056334018707,0.0005,64,True,40
13,1,14,0.642790654025939,0.0,0.0,1.9017806928394203,1.0,1.0,41.98500323295593,589.2111358642578,0.0005,64,True,40
14,1,15,0.5991207539772673,0.0,0.0,1.8205174137918838,1.0,1.0,41.364195823669434,630.5956807136536,0.0005,64,True,40
15,1,16,0.5566836134715227,0.0,0.0,1.7448762102819042,1.0,1.0,42.215362310409546,672.8332145214081,0.0005,64,True,40
16,1,17,0.5230826916673635,0.0,0.0,1.6872208226818748,1.0,1.0,42.34107971191406,715.1954364776611,0.0005,64,True,40
17,1,18,0.4932479342437526,0.0,0.0,1.637626494746266,1.0,1.0,41.91009855270386,757.1271061897278,0.0005,64,True,40
18,1,19,0.4671010120981065,0.0,0.0,1.5953625461962102,1.0,1.0,41.17790079116821,798.3272640705109,0.0005,64,True,40
19,1,20,0.44266935057183193,0.0,0.0,1.5568574751936166,1.0,1.0,41.32074165344238,839.6705298423767,0.0005,64,True,40
20,1,21,0.42072587260065625,0.0,0.0,1.5230667068620887,1.0,1.0,40.84214758872986,880.5357346534729,0.0005,64,True,40
21,1,22,0.4014003165886791,0.0,0.0,1.493915187845233,1.0,1.0,41.565497159957886,922.1247634887695,0.0005,64,True,40
22,1,23,0.3801398170939626,0.0,0.0,1.4624890561097006,1.0,1.0,41.61965322494507,963.7693536281586,0.0005,64,True,40
23,1,24,0.364431172182644,0.0,0.0,1.439694836715928,1.0,1.0,41.28456902503967,1005.0784964561462,0.0005,64,True,40
24,1,25,0.3490254909850427,0.0,0.0,1.4176853280768842,1.0,1.0,42.187371015548706,1047.2905292510986,0.0005,64,True,40
25,1,26,0.33355880508995267,0.0,0.0,1.3959271317485322,1.0,1.0,42.47145485877991,1089.8014545440674,0.0005,64,True,40
26,1,27,0.32399655478116174,0.0,0.0,1.3826425436051362,1.0,1.0,41.811015129089355,1131.6423377990723,0.0005,64,True,40
27,1,28,0.3131852443391531,0.0,0.0,1.3677748801149159,1.0,1.0,41.37195873260498,1173.0403740406036,0.0005,64,True,40
28,1,29,0.30051262630765135,0.0,0.0,1.350550958104509,1.0,1.0,41.868969440460205,1214.935700893402,0.0005,64,True,40
29,1,30,0.2884934989628813,0.0,0.0,1.3344156744088695,1.0,1.0,42.424657106399536,1257.387814283371,0.0005,64,True,40
